Customer #,Name,Address,City,ST,Zip,Phone,Category,Custom Category
6051,1051 RBM - Marathon,1051 North Ave,Battle Creek,MI,49017,269-965-8707,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
3200,44th Street Dog/Dairy (KEY #71,521 - 44th ST SW,Wyoming,MI,49548-9769,616 389-7951,Serves Soft Serve,SERVES SOFT SERVE
5056,56 Exit Truck Stop,60902 M-51,Paw Paw,MI,,516-808-3041,Milk,MILK
2572,7-Eleven #36939B,8976 Tittabasassee Rd,Saginaw,MI,48603-1428,989 270-3905,Milk,MILK
7080,8K Before You Eat,Hungry For Christ,Hamilton,MI,49419-3080,616 886-8082,Milk,MILK
11504,A & B City Dairy,1556 S Meridian Rd,Midland,MI,48640-6610,989 835-2361,Sells Ice Cream,SELLS ICE CREAM
11189,A & B Party Store I/C,802 Butterworth,Grand Rapids,MI,49504,616 454-8977,Milk,MILK
10049,A & K Dawn Donuts,132 Perry Road,Grand Blanc,MI,48439-1818,810 694-3830,Milk,MILK
20668,"Ace Fuelling, Inc",2897 10th Street,Bradley,MI,49344,786-550-5500,Milk,MILK
20006,AD Bos Vending,308 Garden Avenue,Holland,MI,49424-2206,616-218-7276,Milk,MILK
11219,ADJ Petroleum,57887 Red Arrow Hwy,Lawrence,MI,49064,,Milk,MILK
11282,Admiral Alma #5748,802 Superior Dr.,Alma,MI,48801-1818,213 323-4444,Milk,MILK
11260,Admiral Alma #5868,639 Wright Ave.,Alma,MI,48801-1818,989 463-6044,Milk,MILK
11261,Admiral Alma #5869,2982 W. Monroe Rd.,Alma,MI,48801-1818,989 463-8498,Milk,MILK
11336,Admiral Bay City #5795,314 S. Euclid Ave.,Bay City,MI,48706-1428,989 686-6980,Milk,MILK
11262,Admiral Edmore #5870,1102 E. Main St.,Edmore,MI,48829,989 427-5384,Milk,MILK
11270,Admiral Houghton Lake #5829,3880 W Houghton Lake Rd,Houghton Lake,MI,48629-6610,989 366-5704,Milk,MILK
11383,Admiral Ionia #5882,2525 S State Rd,Ionia,MI,48846-1818,616 5230005,Milk,MILK
11263,Admiral Ithaca #5871,1309 E. Center Rd.,Ithaca,MI,48847-1818,989 875-8752,Milk,MILK
11252,Admiral Lowell #5770,2001 Main St,Lowell,MI,49331,616 897-3044,Milk,MILK
11273,Admiral Owosso #5879,1959 E. Main,Owosso,MI,48867-2902,989 472-9004,Milk,MILK
11284,Admiral Saginaw #5727,5605 State St,Saginaw,MI,48603-1428,989 7992137,Milk,MILK
11271,Admiral Scottville #5791,130 State St,Scottville,MI,49454-2902,231 757-9471,Milk,MILK
11420,Adventure Bound Camping,Resorts Of West Michigan,White Cloud,MI,49349-4525,231 689-6685,Milk,MILK
71057,Affogato's (KEY #50 ),11233 68TH Ave.  Suite A,Allendale,MI,49401-9769,616 710-2939,"Milk, Serves Soft Serve","MILK, SERVES SOFT SERVE"
11285,Age Well Service of W Michigan,560 Seminole Rd,Muskegon,MI,49444-3080,231 733-8646,Milk,MILK
11581,AGO #01 Sparta,560 E. Division,Sparta,MI,49345-1320,616 8870352,Milk,MILK
11583,AGO #02 Grant,12432 Mason Dr,Grant,MI,49327-1320,616 8345741,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11585,AGO #03 D 36th St Citgo,150 36TH St SW,Wyoming,MI,49548-1320,616 243-4781,Milk,MILK
11587,AGO #04 Belding AGO,1131 West State,Belding,MI,48809-1320,616 7941010,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
11589,AGO #05 Cedar Springs Citgo,4010 17 Mile Rd,Cedar Springs,MI,49319-1320,616 6963030,Milk,MILK
11591,AGO #06 D Plainfield Citgo,3895 Plainfield NE,Grand Rapids,MI,49525-1320,616 3630581,Milk,MILK
82515,AGO #07 Paw Paw Citgo,109 Ampy Rd,Paw Paw,MI,49079-1320,269 6573032,Milk,MILK
70031,AGO #08 D Port Sheldon Citgo,2805 Port Sheldon,Hudsonville,MI,49426-1320,616 6690111,Milk,MILK
82500,AGO #09 D Hudsonville Citgo,4640  32nd Ave.,Hudsonville,MI,49426-1320,616 6628100,Milk,MILK
82510,AGO #10 I 94 Citgo,3176 Niles Rd,St Joseph,MI,49085-1320,269 4297320,Milk,MILK
82511,AGO #11 Downtown Citgo,220 N. Main St.,St Joseph,MI,49085-1320,269 9835521,Milk,MILK
82512,AGO #12 Southtown Citgo,2501 Niles Ave,St Joseph,MI,49085-1320,269 9836606,Milk,MILK
11577,AGO #13 D Ballpark Citgo,4558 West River Dr,Comstock Park,MI,49321-1320,616 7845647,Milk,MILK
82533,AGO #14 D Kentwood BP,6045 Kalamazoo SE,Kentwood,MI,49508-1320,,Milk,MILK
11575,AGO #15 D Fruitridge Citgo,3050 Fruitridge  NW,Walker,MI,49503-1320,616 7845881,Milk,MILK
11576,AGO #15 I/C Fruitridge Citgo,3050 Fruitridge,Walker,MI,49503-1320,,Serves Ice Cream,SERVES ICE CREAM
11601,AGO #16 Ten Mile Citgo,2770 10 Mile Rd NE,Rockford,MI,49341-1320,616 866-2158,Milk,MILK
11603,AGO #17 D Cascade Citgo,6820 Cascade Rd SE,Grand Rapids,MI,49546-1320,616 9426834,Milk,MILK
11605,AGO #18 D 84th St Citgo,284 84th St. SW,Byron Center,MI,49315-1320,616 878-4074,Milk,MILK
82513,AGO #19 Portage Citgo,7938 Oakland Ave.,Portage,MI,49024-1320,269 3292450,Milk,MILK
82514,AGO #20 Stadium Citgo,4710 Stadium Dr.,Kalamazoo,MI,49008-1320,269 375-4540,Milk,MILK
82503,AGO #21 Greenville Citgo,1325 W Washington,Greenville,MI,48838-1320,616 754-3070,Milk,MILK
82506,AGO #22 D M46 Citgo,20222 Edgar Rd,Howard City,MI,49329-1320,231 9375383,Milk,MILK
11629,AGO #23 I/C Stanton,707 E. Main St.,Stanton,MI,48888-1320,,Milk,MILK
82504,AGO #24 Carson City AGO,102 E Main St,Carson City,MI,48811-1320,989 5846054,Milk,MILK
11631,AGO #25 IC Sheridan AGO,7990 S Sheridan Rd,Sheridan,MI,48884-1320,,Milk,MILK
191543,AGO #25 Sheridan AGO,7990 S Sheridan Rd,Sheridan,MI,48884-1320,989 2913926,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82505,AGO #26 D Howard City AGO,130 N Ensley,Howard City,MI,49329-1320,231 9374319,Milk,MILK
82535,AGO #27 Post Dr Citgo,1355 Post Dr.,Belmont,MI,49306-1320,616 784-5889,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82502,AGO #28 D 28th St Citgo,5155 28th St SE,Grand Rapids,MI,49512-1320,616 285-5170,Milk,MILK
11580,AGO #30 Bella Vista Citgo,6051 Belding Rd,Rockford,MI,49341-1320,616 8747940,Milk,MILK
82509,AGO #31 Sunrise Citgo,7100 E. Fulton,Ada,MI,49301-1320,616 682-5921,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82516,AGO #32 D 44th Street BP,4405 S. Division,Wyoming,MI,49509-1320,616 7242324,Milk,MILK
11582,AGO #33 Cottage Market Citgo,12795 Old 14 Mile Rd,Greenville,MI,48838-1320,616 225-1223,"Milk, Serves Ice Cream","MILK, SERVES ICE CREAM"
82517,AGO #34 D Eastown Citgo,1560 Lake Dr. SE,Grand Rapids,MI,49506-2704,616 742-9012,Milk,MILK
